,genre,artist_name,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,preference,prediction
101672,Children’s Music,Escape the Fate,Picture Perfect,0.0039700000000000004,0.465,0.867,0.0,C,0.151,-3.97,Minor,0.0361,155.085,4/4,0.32799999999999996,0,1
102390,Children’s Music,Mallory Knox,Yellow - Torch Songs,0.00145,0.39299999999999996,0.612,1.37e-06,B,0.121,-3.645,Major,0.0305,175.07299999999998,4/4,0.225,0,1
102576,Children’s Music,The Glorious Sons,Kill The Lights,0.00614,0.513,0.7440000000000001,6.840000000000001e-05,A,0.158,-5.768,Minor,0.0342,74.961,4/4,0.355,0,1
103107,Children’s Music,Buzzcocks,Why Can't I Touch It? - 2001 Remastered Version,0.00017900000000000001,0.5870000000000001,0.613,0.151,C,0.17800000000000002,-9.443999999999999,Minor,0.0341,85.693,4/4,0.655,0,1
103724,Children’s Music,Cobi,Nobody Opened The Door,0.615,0.40700000000000003,0.418,6.52e-06,D,0.102,-5.855,Major,0.0374,115.93299999999999,3/4,0.335,0,1
107839,Pop,Bazzi,Beautiful (feat. Camila Cabello),0.34600000000000003,0.638,0.7170000000000001,0.0,D,0.105,-4.7219999999999995,Major,0.0337,100.027,4/4,0.249,0,1
107961,Pop,Martin Garrix,Ocean (feat. Khalid),0.584,0.506,0.693,9.58e-05,C,0.0891,-7.265,Minor,0.0412,139.912,4/4,0.221,0,1
108165,Pop,Ariana Grande,R.E.M,0.375,0.831,0.485,1.47e-05,A#,0.11800000000000001,-6.6770000000000005,Minor,0.15,80.02199999999999,4/4,0.622,0,1
108302,Pop,Khalid,Shot Down,0.893,0.767,0.512,0.000223,F#,0.10300000000000001,-6.777,Major,0.0591,123.921,4/4,0.489,0,1
108421,Pop,Chris Lane,Take Back Home Girl (feat. Tori Kelly),0.35600000000000004,0.488,0.7829999999999999,0.0,B,0.0921,-3.967,Major,0.0725,159.924,4/4,0.664,0,1
109169,Pop,Lauv,Getting Over You,0.273,0.604,0.507,2.27e-06,C,0.0943,-7.928,Major,0.0382,91.984,4/4,0.114,0,1
109679,Pop,Dave Matthews Band,Crash into Me,0.122,0.541,0.677,0.0191,E,0.0938,-10.764000000000001,Major,0.0373,101.1,4/4,0.555,0,1
109705,Pop,Taylor Swift,King Of My Heart,0.00882,0.675,0.703,2.21e-06,C,0.0391,-7.902,Major,0.0382,110.01,4/4,0.314,0,1
109943,Pop,Twenty One Pilots,Cut My Lip,0.12,0.6409999999999999,0.561,0.0021,E,0.358,-5.856,Major,0.0355,111.93799999999999,4/4,0.6779999999999999,0,1
110592,Pop,Daya,Safe,0.08900000000000001,0.41200000000000003,0.696,0.0,C,0.138,-3.681,Major,0.0508,87.62200000000001,4/4,0.376,0,1
110958,Pop,Bruno Mars,Straight Up & Down,0.0209,0.552,0.733,0.0,D#,0.0858,-6.898,Minor,0.0933,143.56,4/4,0.643,0,1
111577,Pop,Danny Ocean,Dembow,0.0807,0.802,0.7440000000000001,0.0,F#,0.0917,-5.968,Major,0.078,99.98299999999999,4/4,0.45,0,1
111710,Pop,SUNMI,Noir 누아르,0.00389,0.642,0.6759999999999999,0.0,G#,0.0854,-4.771,Minor,0.0343,117.031,4/4,0.257,0,1
112944,Pop,Don Diablo,Take Her Place (feat. A R I Z O N A),0.27899999999999997,0.603,0.7440000000000001,4.87e-06,C,0.106,-5.724,Major,0.0458,101.991,4/4,0.605,0,1
113490,Pop,John Mayer,Dear Marie,0.7959999999999999,0.601,0.36,0.43700000000000006,A,0.0883,-10.909,Major,0.0262,94.999,4/4,0.494,0,1
113570,Pop,AJR,Pretender - Acoustic,0.639,0.8109999999999999,0.365,0.0,G,0.22399999999999998,-6.943,Minor,0.0291,97.941,4/4,0.539,0,1
113837,Pop,Bay City Rollers,Saturday Night,0.19899999999999998,0.514,0.6809999999999999,0.0356,G,0.0745,-10.026,Major,0.065,136.821,4/4,0.9129999999999999,0,1
115963,Rap,Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),0.0178,0.852,0.764,0.0,G#,0.336,-4.283,Minor,0.0631,132.981,4/4,0.266,0,1
116095,Rap,Unclenathannn,"No I Don't Want, Just Anyone",0.5589999999999999,0.525,0.39899999999999997,0.00728,C,0.193,-11.526,Major,0.126,131.747,4/4,0.29,0,1
116172,Rap,Montana of 300,Wifin' You,0.478,0.49700000000000005,0.794,0.0,C,0.08,-5.287000000000001,Major,0.0994,80.675,3/4,0.557,0,1
116534,Rap,Lil Uzi Vert,Diamonds All on My Wrist,0.325,0.852,0.636,0.0,C#,0.16899999999999998,-6.457000000000001,Major,0.324,139.994,4/4,0.369,0,1
117213,Rap,Waka Flocka Flame,Turn Up,0.00487,0.5539999999999999,0.615,0.102,B,0.10400000000000001,-10.474,Minor,0.0493,148.239,4/4,0.44,0,1
117455,Rap,Logic,Paradise,0.115,0.551,0.747,0.0,G,0.0895,-7.9110000000000005,Major,0.254,88.93700000000001,4/4,0.205,0,1
118169,Rap,"nothing,nowhere.","I'm Sorry, I'm Trying",0.31,0.615,0.521,1.6e-06,D,0.0978,-8.849,Major,0.0484,139.503,4/4,0.182,0,1
118280,Rap,A$AP Mob,Feels So Good,0.33299999999999996,0.877,0.375,0.0103,A#,0.10099999999999999,-10.83,Major,0.304,77.028,4/4,0.0832,0,1
119057,Rap,rei brown,I Can't See You in the Dark,0.773,0.7490000000000001,0.375,0.48200000000000004,E,0.11199999999999999,-7.5729999999999995,Major,0.0383,135.24,4/4,0.301,0,1
119104,Rap,Upchurch,Redneck for Real,0.040999999999999995,0.852,0.643,0.0,F#,0.295,-8.429,Minor,0.307,156.094,4/4,0.5720000000000001,0,1
119173,Rap,Lil Durk,Spazz,0.389,0.7959999999999999,0.705,0.0,G,0.136,-5.331,Minor,0.107,151.966,4/4,0.41200000000000003,0,1
119249,Rap,Roddy Ricch,Position,0.0578,0.738,0.557,0.0,B,0.0787,-9.64,Minor,0.0633,154.95600000000002,4/4,0.391,0,1
119715,Rap,LOCASH,It's Only Midnight,0.0844,0.593,0.8370000000000001,0.0,A,0.14800000000000002,-4.834,Major,0.0302,99.947,4/4,0.569,0,1
120214,Rap,2Pac,Heartz Of Men,0.00286,0.794,0.773,0.000272,F#,0.326,-6.065,Major,0.166,92.465,4/4,0.5529999999999999,0,1
122296,Rap,Will Smith,Wild Wild West - Album Version - No Intro,0.0615,0.846,0.659,0.0,A#,0.297,-6.888,Minor,0.0809,107.014,4/4,0.622,0,1
140823,Indie,Sufjan Stevens,All of Me Wants All of You,0.9690000000000001,0.43700000000000006,0.282,0.0017399999999999998,B,0.115,-17.455,Minor,0.0481,143.934,4/4,0.163,0,1
141027,Indie,Electric Guest,Zero,0.696,0.7859999999999999,0.327,4.54e-06,C,0.107,-8.101,Minor,0.0335,122.006,4/4,0.428,0,1
